2002,Panathinaikos,Gre,Sparta Praha,Cze,2,1
2002,Deportivo La Coruña,Esp,Arsenal,Eng,2,0
2002,Arsenal,Eng,Deportivo La Coruña,Esp,0,2
2002,Juventus,Ita,Bayer Leverkusen,Ger,4,0
2002,Bayer Leverkusen,Ger,Juventus,Ita,3,1
2002,Arsenal,Eng,Juventus,Ita,3,1
2002,Juventus,Ita,Arsenal,Eng,1,0
2002,Bayer Leverkusen,Ger,Deportivo La Coruña,Esp,3,0
2002,Deportivo La Coruña,Esp,Bayer Leverkusen,Ger,1,3
2002,Bayer Leverkusen,Ger,Arsenal,Eng,1,1
2002,Arsenal,Eng,Bayer Leverkusen,Ger,4,1
2002,Juventus,Ita,Deportivo La Coruña,Esp,0,0
2002,Deportivo La Coruña,Esp,Juventus,Ita,2,0
2002,Panathinaikos,Gre,FC Barcelona,Esp,1,0
2002,FC Barcelona,Esp,Panathinaikos,Gre,3,1
2002,Bayern München,Ger,Real Madrid,Esp,2,1
2002,Real Madrid,Esp,Bayern München,Ger,2,0
2002,Deportivo La Coruña,Esp,Manchester United,Eng,0,2
2002,Manchester United,Eng,Deportivo La Coruña,Esp,3,2
2002,Liverpool,Eng,Bayer Leverkusen,Ger,1,0
2002,Bayer Leverkusen,Ger,Liverpool,Eng,4,2
2002,FC Barcelona,Esp,Real Madrid,Esp,0,2
2002,Real Madrid,Esp,FC Barcelona,Esp,1,1
2002,Manchester United,Eng,Bayer Leverkusen,Ger,2,2
2002,Bayer Leverkusen,Ger,Manchester United,Eng,1,1
2002,Bayer Leverkusen,Ger,Real Madrid,Esp,1,2
